Threat_ID,Threat_Title,Target_Asset,Attacker_Actor,Likelihood,Impact,Risk_Score,Technical_Control,Source_Location,Test_Method,Raw_Evidence_Ref,Status,Residual_Risk
T-01,Penyadapan Pesan di Jalur DataChannel,AST-01,ACT-05,2,4,High (8),AES-GCM-256 Application Layer + DTLS WebRTC,frontend/src/crypto/encryption.js,Automated Unit & E2E (AE-01; E2E-01),impkrip_test_report.json,PASS,Controlled at application and transport layer
T-02,Kriptanalisis Masa Depan Menggunakan Komputer Kuantum,AST-01; AST-02,ACT-07,1,4,Medium (4),PSK-assisted ML-KEM-768 session-key establishment + HKDF-SHA-256,frontend/src/crypto/mlkem.js; encryption.js,Automated Unit (PQ-01; PQ-02; KD-01),impkrip_test_report.json,PASS,Parameters follow FIPS 203; third-party JS library without CMVP cert
T-03,Kompromi Server Signaling Backend (Relay Sniffing),AST-01; AST-02,ACT-04,2,4,High (8),Signaling relay without keying material & RFC 3986 URL Fragment,frontend/src/App.jsx; backend/main.py,Automated Integration (E2E-01) & Code Review,impkrip_test_report.json; main.py,PASS,Assumes integrity of frontend delivery channel
T-04,Penyusupan Pihak Ketiga ke Dalam Room (3rd Peer Join),AST-01; AST-10,ACT-03,3,3,High (9),Strict 2-Peer Max Capacity & Socket Close 1008,backend/main.py:websocket_endpoint,Automated Multi-run E2E (E2E-03),impkrip_test_report.json,PASS,Controlled at signaling socket layer
T-05,MitM pada Handshake Pasca-Kuantum,AST-04; AST-05; AST-08,ACT-06,2,4,High (8),Length-Prefixed SHA-256 Transcript Hash + Dual Nonce + Mutual HMAC,frontend/src/crypto/pq_upgrade.js,Automated Unit & Negative (KC-01; KC-02),impkrip_test_report.json,PASS,Provides mutual key confirmation not identity authentication
T-06,Ekstraksi Kunci Privat ML-KEM dari Memori Browser,AST-03; AST-06,ACT-03,1,4,Medium (4),Explicit delete pointer and dereference after decap,frontend/src/crypto/pq_upgrade.js,Code Review & Heap Profiler,impkrip_memory_benchmark.json,PARTIAL,JS V8 runtime garbage collection does not guarantee secure zeroization
T-07,Kebocoran Kunci via Riwayat Browser / URL Sharing,AST-02,ACT-05,2,4,High (8),Pre-shared room secret in URL fragment (#) + 15-min Room TTL,frontend/src/App.jsx; backend/main.py,Automated E2E (E2E-04) & Code Review,impkrip_test_report.json,PASS,Residual risk: anyone possessing full URL with fragment obtains secret
T-08,Serangan Replay Pesan Aplikasi,AST-01,ACT-06,2,3,Medium (6),Fresh 12-byte IV + Sequence Counter & Direction in AAD,frontend/src/crypto/encryption.js,Automated Unit (AE-04) & Envelope Test (RP-01),impkrip_test_report.json,PARTIAL,AAD manipulation rejected; raw WebRTC packet reinjection not automated
T-09,Pengambilalihan Sesi Pasca Peer Exit,AST-10; AST-13,ACT-03,2,3,Medium (6),Room destruction event broadcast & In-memory table purging,backend/main.py:websocket_endpoint,Automated Multi-run E2E (E2E-04),impkrip_test_report.json,PASS,Controlled at signaling lifecycle
T-10,Ekstraksi Riwayat Percakapan dari Cache Klien,AST-01; AST-12,ACT-03,1,3,Medium (3),Ephemeral sessionStorage & clearRoomStorage on exit,frontend/src/utils/storage.js,Automated Multi-run E2E (E2E-04),impkrip_test_report.json,PASS,Local per-tab memory only; no protection against OS process dump
T-11,Akses API Tidak Sah Lintas Domain (CORS Bypass),AST-13,ACT-06,2,3,Medium (6),CORS Whitelist restricted to ALLOWED_ORIGINS,backend/main.py:114-119,Code Review,main.py,CODE REVIEW ONLY,Configured in middleware; dynamic DAST scan blocked
T-12,Koneksi Liar Langsung ke WebSocket,AST-13; AST-14,ACT-03,3,2,Medium (6),Room existence check & token query verification (Close 1008),backend/main.py:websocket_endpoint,Code Review,main.py,CODE REVIEW ONLY,Configured in handler; no standalone test runner script
T-13,DoS Flooding Pembuatan Room (Resource Exhaustion),AST-14,ACT-03,3,2,Medium (6),SlowAPI rate limiting 10 req/IP/min on POST /rooms,backend/main.py:create_room,Code Review,main.py,CODE REVIEW ONLY,Configured on route handler; not tested under massive load
T-14,Exhaustion Memori via Frame WS Raksasa,AST-14,ACT-06,2,3,Medium (6),WS frame limit 64 KB (MAX_MSG_BYTES) & Idle timeout 60s,backend/main.py:websocket_endpoint,Code Review,main.py,CODE REVIEW ONLY,Configured on frame loop; violation closes socket 1009
T-15,Eksploitasi Kerentanan Kode Statis Backend,AST-13; AST-14,ACT-06,2,2,Medium (4),Bandit SAST scanning profile,backend/.bandit,Automated SAST Scan (Bandit v1.9.4),bandit_report.json,PASS,0 High; 1 Med B104 accepted deployment; 3 Low B110 accepted debt
T-16,Injeksi Skrip & Clickjacking Antarmuka Web,AST-01; AST-12,ACT-06,2,3,Medium (6),Security headers (X-Frame-Options: DENY) & CSP meta tag,frontend/index.html; backend/main.py,Configuration Review,zap_summary.md,PASS (WITH CAVEAT),style-src contains unsafe-inline; DAST dynamic scan blocked
